ID Transaksi,Tanggal,Konsumen,ID Produk,Nama Produk,Merek,Jumlah
1,7/1/2022 0:00,Mr. A,1,Roti,Sri Roti,2
,,,2,Air Minum,Aquos,1
,,,11,Mie Instan,Indomi,2
,,,12,Mie Instan,Mi Sedap,1
2,7/1/2022 0:00,Mr. B,2,Air Minum,Aquos,1
,,,6,Snack,Chiki,2
,,,3,Roti,Prambanan,1
,,,5,Shampoo,Clean,1
3,7/2/2022 0:00,Mr. C,4,Sabun,Lifboy,1
,,,5,Shampoo,Clean,1
,,,9,Rokok,Malioboro,1
4,7/2/2022 0:00,Mr. B,1,Roti,Sri Roti,2
,,,10,Air Minum,Sprit,2
,,,8,Snack,Citata,3
,,,7,Sabun,Luks,1
,,,12,Mie Instan,Mi Sedap,2
5,7/3/2022 0:00,Mr. A,6,Snack,Chiki,1
,,,10,Air Minum,Sprit,2
6,7/3/2022 0:00,Mr. D,11,Mie Instan,Indomi,2
,,,4,Sabun,Lifboy,1
,,,5,Shampoo,Clean,1
7,7/4/2022 0:00,Mr. Z,10,Air Minum,Sprit,1
,,,9,Rokok,Malioboro,1
8,7/4/2022 0:00,Mr. B,6,Snack,Chiki,1
,,,7,Sabun,Luks,1
,,,5,Shampoo,Clean,1
,,,11,Mie Instan,Indomi,3
9,7/5/2022 0:00,Mr. X,1,Roti,Sri Roti,2
,,,2,Air Minum,Aquos,1
,,,4,Sabun,Lifboy,1
,,,6,Snack,Chiki,2
,,,9,Rokok,Malioboro,1
,,,11,Mie Instan,Indomi,2
10,7/5/2022 0:00,Mr. T,3,Roti,Prambanan,1
,,,10,Air Minum,Sprit,2
,,,6,Snack,Chiki,2
11,7/6/2022 0:00,Mr. P,3,Roti,Prambanan,2
,,,9,Rokok,Malioboro,1
12,7/6/2022 0:00,Mr. G,4,Sabun,Lifboy,2
,,,5,Shampoo,Clean,1
,,,12,Mie Instan,Mi Sedap,2
,,,11,Mie Instan,Indomi,1
13,7/7/2022 0:00,Mr. X,1,Roti,Sri Roti,1
,,,8,Snack,Citata,2
,,,10,Air Minum,Sprit,1
14,7/7/2022 0:00,Mr.Y,7,Sabun,Luks,2
,,,5,Shampoo,Clean,2
,,,6,Snack,Chiki,1
15,7/8/2022 0:00,Mr. F,9,Rokok,Malioboro,1
16,8/2/2022 0:00,Mr. J,2,Air Minum,Aquos,2
17,9/5/2022 0:00,Mr. X,1,Roti,Sri Roti,2
,,,2,Air Minum,Aquos,1
,,,4,Sabun,Lifboy,1
,,,6,Snack,Chiki,2
18,10/2/2022 0:00,Mr. B,1,Roti,Sri Roti,2
,,,10,Air Minum,Sprit,2
